Axis 1,Axis 2,Capital,Currency,Currency Name,Continents
Trinidad and Tobago.png,Trinidad and Tobago,Port of Spain,TTD,Trinidad and Tobago dollar,North America
Tunisia.jpg,Tunisia,Tunis,TND,Tunisian dinar,Africa
Turkey.png,Turkey,Ankara,TRY,Turkish lira,Asia
Turkmenistan.png,Turkmenistan,Ashgabat,TMT,Turkmenistan manat,Asia
Tuvalu.jpg,Tuvalu,Funafuti,AUD,Australian dollar,Oceania
UAE.png,UAE,Abu Dhabi,AED,United Arab Emirates dirham,Asia
Uganda.jpg,Uganda,Kampala,UGX,Ugandan shilling,Africa
UK.png,UK,London,GBP,British pound,Europe
Ukraine.png,Ukraine,Kiev,UAH,Ukrainian hryvnia,Europe
Uruguay.png,Uruguay,Montevideo,UYU,Uruguayan peso,South America
US.png,US,Washington,USD,United States dollar,North America
Uzbekistan.png,Uzbekistan,Tashkent,UZS,Uzbekistani soÊ»m,Asia
Vanuatu.jpg,Vanuatu,Port Vila,VUV,Vanuatu vatu,Oceania
Vatican City.png,Vatican City,Vatican City,EUR,Euro,Europe
Venezuela.png,Venezuela,Caracas,VEF,BolÃ­var,South America
Vietnam.png,Vietnam,Hanoi,VND,Vietnamese Ä‘á»“ng,Asia
Yemen.png,Yemen,Sanaa,YER,Yemeni rial,Asia
Zambia.jpg,Zambia,Lusaka,ZMW,Zambian kwacha,Africa
Zimbabwe.jpg,Zimbabwe,Harare,ZWL,Zimbabwe Dollar,Africa
